sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,Placed
1981,F,75.07,Others,94.36,Others,Science,68.8,Comm&Mgmt,No,58.26,Mkt&Fin,93.46,Not Placed,448661,No
1982,M,83.82,Central,81.7,Others,Arts,57.15,Arts,No,94.42,Mkt&HR,95.83,Placed,349749.259823577,Yes
1983,M,95.71,Others,68.85,Central,Science,82.57,Sci&Tech,No,94.41,Mkt&Fin,67.42,Placed,349749.259823577,Yes
1984,M,69.28,Others,60.8,Others,Arts,55.44,Comm&Mgmt,Yes,67.67,Mkt&Fin,91.61,Not Placed,349749.259823577,No
1985,M,70.28,Central,91.96,Others,Commerce,95.61,Arts,No,92.54,Mkt&HR,59.31,Placed,349749.259823577,Yes
1986,F,67.35,Others,59.51,Central,Arts,90.42,Sci&Tech,Yes,80.51,Mkt&HR,64.58,Placed,349749.259823577,Yes
1987,M,61.2,Central,71.05,Central,Arts,95.9,Arts,Yes,64.49,Mkt&HR,96.89,Placed,349749.259823577,Yes
1988,M,78.39,Others,52.16,Others,Science,57.07,Sci&Tech,Yes,99.52,Mkt&Fin,94.03,Not Placed,349749.259823577,No
1989,M,83.47,Others,67.33,Others,Science,96.62,Sci&Tech,No,80.41,Mkt&Fin,95.28,Placed,494175,Yes
1990,F,65.07,Others,68.6,Others,Arts,73.13,Sci&Tech,Yes,68.01,Mkt&HR,66.17,Placed,349749.259823577,Yes
1991,F,88.68,Others,83.18,Central,Science,97.44,Arts,No,87.7,Mkt&Fin,98.36,Not Placed,349749.259823577,No
1992,M,94.44,Central,56.6,Others,Arts,68.99,Arts,No,81.94,Mkt&Fin,95.23,Not Placed,349749.259823577,No
1993,F,89.66,Others,82.2,Others,Commerce,99.57,Arts,Yes,94.89,Mkt&HR,77.62,Placed,349749.259823577,Yes
1994,M,69,Central,87.45,Others,Commerce,52.03,Sci&Tech,Yes,93.76,Mkt&Fin,84.96,Placed,349749.259823577,Yes
1995,F,66.89,Central,58.21,Others,Arts,62.22,Arts,No,66.31,Mkt&Fin,79.27,Not Placed,349749.259823577,No
1996,F,86.75,Others,98.43,Central,Arts,96.6,Sci&Tech,Yes,63.85,Mkt&HR,76.37,Not Placed,349749.259823577,No
1997,M,89.26,Others,63.08,Central,Science,85.55,Arts,No,91.65,Mkt&HR,78.9,Not Placed,349749.259823577,No
1998,M,79.96,Central,95.19,Others,Science,71.84,Arts,Yes,87.76,Mkt&HR,98.2,Not Placed,349749.259823577,No
1999,M,64.46,Others,83.63,Others,Arts,97.84,Arts,Yes,97.27,Mkt&Fin,88.73,Not Placed,349749.259823577,No
2000,F,61.46,Others,99.33,Others,Science,87.04,Arts,Yes,56.01,Mkt&HR,81.94,Placed,349749.259823577,Yes
2001,M,62.32,Central,64.83,Others,Arts,76.94,Comm&Mgmt,No,88.61,Mkt&Fin,90.39,Not Placed,289578,No
2002,M,94.71,Others,56.76,Others,Arts,77.02,Sci&Tech,Yes,86.88,Mkt&HR,53.23,Not Placed,349749.259823577,No
2003,F,71.05,Central,98.79,Central,Arts,88.48,Arts,Yes,60.72,Mkt&Fin,75.22,Not Placed,349749.259823577,No
2004,M,55.3,Others,77.35,Others,Arts,83.23,Comm&Mgmt,Yes,56.51,Mkt&Fin,76.18,Placed,349749.259823577,Yes
2005,M,65.72,Others,59.93,Central,Commerce,70.79,Arts,Yes,59.59,Mkt&Fin,60.39,Not Placed,349749.259823577,No
2006,F,92.77,Central,95.04,Central,Arts,89.45,Comm&Mgmt,No,82.31,Mkt&HR,90.09,Not Placed,293052,No
2007,M,72.23,Central,72.92,Central,Science,78.34,Sci&Tech,Yes,67.74,Mkt&HR,57.91,Placed,349749.259823577,Yes
2008,F,58.05,Others,66.14,Central,Commerce,50.71,Arts,No,85.76,Mkt&Fin,63.84,Not Placed,495069,No
2009,F,82.94,Others,87.84,Others,Science,76.14,Sci&Tech,No,65.21,Mkt&HR,69.78,Not Placed,269319,No
2010,M,83.55,Others,90.14,Others,Arts,69.32,Sci&Tech,No,94.9,Mkt&Fin,50.41,Placed,464568,Yes
2011,F,68.71,Central,74.67,Central,Arts,98.37,Sci&Tech,No,51.98,Mkt&Fin,86.16,Placed,349749.259823577,Yes
2012,F,66.45,Others,74.45,Others,Commerce,77.83,Sci&Tech,Yes,69.7,Mkt&HR,87.06,Not Placed,349749.259823577,No
2013,F,71.21,Others,90.54,Others,Arts,57.41,Comm&Mgmt,Yes,68.2,Mkt&HR,78.87,Not Placed,349749.259823577,No
2014,F,94.67,Others,74.18,Central,Science,64.64,Arts,No,91.52,Mkt&Fin,54.58,Not Placed,349749.259823577,No
2015,F,99.84,Others,62,Central,Arts,84.12,Comm&Mgmt,Yes,52.87,Mkt&HR,96.21,Placed,349749.259823577,Yes
2016,F,66.38,Others,64.94,Others,Science,88.31,Sci&Tech,No,79.65,Mkt&HR,69.38,Placed,325771,Yes
2017,F,62.66,Central,76.48,Others,Science,70.49,Arts,Yes,55.28,Mkt&Fin,57.6,Not Placed,398801,No
2018,M,57.05,Central,55.92,Others,Science,65.75,Comm&Mgmt,Yes,85.77,Mkt&HR,51,Not Placed,349749.259823577,No
2019,F,99.92,Others,81.58,Central,Science,82.51,Arts,No,54.33,Mkt&Fin,66.98,Not Placed,349749.259823577,No
2020,M,93.62,Others,73.73,Others,Science,65.11,Sci&Tech,No,99.95,Mkt&HR,96.67,Placed,349749.259823577,Yes
2021,F,55.21,Central,98.51,Others,Commerce,73.7,Comm&Mgmt,Yes,91.58,Mkt&Fin,99.22,Not Placed,349749.259823577,No
2022,F,57.69,Others,92.25,Central,Commerce,65.23,Comm&Mgmt,Yes,92.86,Mkt&HR,60.61,Placed,349749.259823577,Yes
2023,M,73.92,Central,85.36,Central,Commerce,88.97,Arts,Yes,93.52,Mkt&HR,51.46,Not Placed,349749.259823577,No
2024,F,99.06,Others,85.54,Central,Arts,62.5,Comm&Mgmt,No,91.43,Mkt&HR,89.17,Placed,349749.259823577,Yes
2025,M,85.79,Central,99.35,Central,Science,92.02,Sci&Tech,No,96.07,Mkt&Fin,56.35,Not Placed,349749.259823577,No
2026,F,97.99,Others,88.98,Central,Commerce,58.05,Sci&Tech,Yes,69.66,Mkt&Fin,53.04,Not Placed,349749.259823577,No
2027,M,84.8,Central,74.3,Central,Commerce,77.13,Comm&Mgmt,Yes,74.56,Mkt&HR,94.47,Not Placed,349749.259823577,No
2028,M,69.28,Central,92.16,Others,Science,80.68,Arts,Yes,89.79,Mkt&HR,71.08,Placed,349749.259823577,Yes
2029,F,91.96,Central,87.31,Central,Science,79.21,Sci&Tech,No,82.9,Mkt&Fin,93.36,Placed,349749.259823577,Yes
2030,F,86.76,Central,55.97,Central,Arts,79.41,Sci&Tech,No,57.78,Mkt&Fin,87.25,Not Placed,349749.259823577,No
2031,F,97.72,Others,80.87,Central,Arts,73.01,Arts,No,94.44,Mkt&Fin,74.56,Not Placed,204328,No
2032,M,77.63,Others,82.65,Others,Arts,56.64,Sci&Tech,No,50.17,Mkt&Fin,91.52,Placed,349749.259823577,Yes
2033,F,88.96,Others,52.7,Central,Arts,51.53,Sci&Tech,Yes,70.85,Mkt&Fin,94.98,Not Placed,264328,No
2034,M,52.2,Others,80.97,Others,Commerce,96.12,Comm&Mgmt,Yes,57.96,Mkt&HR,60.94,Placed,394033,Yes
2035,M,93.66,Others,57.81,Others,Commerce,57.4,Comm&Mgmt,Yes,91.16,Mkt&Fin,58.81,Not Placed,349749.259823577,No
2036,F,62.11,Others,72.09,Others,Science,55.07,Arts,Yes,66.2,Mkt&Fin,55.29,Not Placed,349749.259823577,No
2037,F,76.83,Central,87.37,Others,Arts,86.95,Arts,Yes,69.43,Mkt&Fin,74.55,Not Placed,349749.259823577,No
2038,F,58.89,Others,56.55,Others,Science,97.27,Sci&Tech,No,62.33,Mkt&HR,70.17,Placed,349749.259823577,Yes
2039,M,68.87,Central,83.48,Others,Commerce,93.36,Arts,No,83.83,Mkt&Fin,87.67,Not Placed,471095,No
2040,F,94.51,Others,57.49,Central,Science,81.34,Comm&Mgmt,No,78,Mkt&Fin,56.06,Not Placed,349749.259823577,No
2041,F,82.29,Others,80.57,Others,Arts,67.04,Arts,Yes,64.67,Mkt&Fin,84.23,Placed,255840,Yes
2042,M,92.51,Others,55.97,Central,Arts,78.34,Sci&Tech,No,74.56,Mkt&Fin,89.6,Not Placed,419552,No
2043,M,55.05,Others,66.22,Central,Science,58.39,Arts,No,66.89,Mkt&Fin,80.32,Placed,275676,Yes
2044,F,69.7,Others,95.27,Central,Science,67.74,Sci&Tech,No,73.47,Mkt&Fin,50.34,Placed,349749.259823577,Yes
2045,M,99.68,Others,54.06,Others,Science,53.95,Arts,No,79.83,Mkt&HR,86.52,Not Placed,346161,No
2046,F,70.38,Central,86.84,Central,Science,53.24,Comm&Mgmt,No,89.5,Mkt&HR,89.99,Not Placed,349749.259823577,No
2047,M,62.39,Others,99.38,Others,Arts,84.6,Arts,Yes,99.55,Mkt&Fin,94.7,Not Placed,349749.259823577,No
2048,F,83.84,Others,60.84,Central,Commerce,55.48,Arts,No,89.69,Mkt&Fin,91.04,Placed,349749.259823577,Yes
2049,M,83.43,Others,54.7,Central,Arts,95.23,Arts,No,77.3,Mkt&HR,61.35,Not Placed,349749.259823577,No
2050,F,64.09,Central,73.36,Others,Commerce,83.54,Sci&Tech,No,67.3,Mkt&Fin,81.2,Placed,349749.259823577,Yes
2051,M,79.46,Others,95.46,Others,Arts,75.5,Arts,No,86.51,Mkt&HR,50.67,Not Placed,209749,No
2052,M,51.29,Central,54.7,Central,Commerce,97.92,Sci&Tech,Yes,89.13,Mkt&HR,63.87,Not Placed,227154,No
2053,F,91.46,Others,79.25,Others,Arts,81.13,Arts,No,70.12,Mkt&HR,99.28,Placed,349749.259823577,Yes
2054,M,96.09,Others,67.54,Central,Commerce,52.89,Sci&Tech,No,76.47,Mkt&HR,58.23,Placed,349749.259823577,Yes
2055,M,96.85,Central,88.84,Central,Science,73.94,Arts,No,99.92,Mkt&HR,78.86,Placed,349749.259823577,Yes
2056,F,69.54,Others,68.54,Others,Commerce,65.36,Comm&Mgmt,No,89.31,Mkt&Fin,71.18,Placed,349749.259823577,Yes
2057,F,62.5,Others,89.23,Central,Science,79.47,Sci&Tech,Yes,89.09,Mkt&Fin,57.71,Not Placed,349749.259823577,No
2058,F,70.17,Others,73.46,Central,Science,52.78,Comm&Mgmt,Yes,75.5,Mkt&HR,74.77,Not Placed,349749.259823577,No
2059,M,68.81,Central,81.52,Others,Arts,74.46,Comm&Mgmt,Yes,64.8,Mkt&Fin,83.16,Placed,422347,Yes
2060,M,51.31,Others,93.1,Others,Arts,96.37,Arts,No,95.73,Mkt&Fin,96.2,Not Placed,349749.259823577,No
2061,M,73.01,Central,92.23,Central,Commerce,77.58,Sci&Tech,Yes,76.5,Mkt&HR,59.77,Placed,349749.259823577,Yes
2062,F,95.83,Central,85.49,Central,Arts,99.55,Comm&Mgmt,No,54.39,Mkt&Fin,94.53,Not Placed,423275,No
2063,M,91.68,Central,80.25,Central,Arts,79.89,Sci&Tech,No,83.41,Mkt&HR,86.46,Not Placed,349749.259823577,No
2064,F,67.82,Central,85.56,Central,Arts,67.74,Arts,No,57.83,Mkt&HR,68.36,Not Placed,349749.259823577,No
2065,F,80.82,Others,75.55,Others,Arts,89.74,Comm&Mgmt,Yes,67.43,Mkt&HR,94.41,Placed,497991,Yes
2066,F,53.81,Central,98.71,Others,Commerce,85.36,Sci&Tech,Yes,85.64,Mkt&HR,98.33,Placed,232116,Yes
2067,M,60.39,Others,81.84,Central,Arts,75.73,Arts,Yes,93.75,Mkt&Fin,85.85,Not Placed,349749.259823577,No
2068,M,99.94,Central,66.04,Central,Arts,95.22,Comm&Mgmt,Yes,89.1,Mkt&HR,58.3,Not Placed,349749.259823577,No
2069,F,80.54,Central,94,Others,Commerce,86.04,Comm&Mgmt,Yes,80.31,Mkt&HR,76.21,Not Placed,349749.259823577,No
2070,F,62.97,Central,78.02,Central,Commerce,52.78,Sci&Tech,No,77.81,Mkt&HR,69.61,Placed,349749.259823577,Yes
2071,F,56.2,Central,77.41,Others,Commerce,94.49,Sci&Tech,No,77.01,Mkt&Fin,75.01,Placed,349749.259823577,Yes
2072,F,62.16,Central,96.24,Central,Commerce,57.85,Arts,No,91.34,Mkt&HR,56.24,Not Placed,349749.259823577,No
2073,M,74.13,Central,96.65,Others,Commerce,58.28,Arts,Yes,77.27,Mkt&HR,73.46,Not Placed,349749.259823577,No
2074,F,56.2,Others,84.62,Others,Science,57.68,Comm&Mgmt,No,56.34,Mkt&HR,85,Not Placed,349749.259823577,No
2075,M,96.59,Central,91.94,Central,Science,61.79,Sci&Tech,Yes,60.13,Mkt&HR,72.6,Not Placed,253041,No
2076,F,93.72,Others,64.46,Others,Science,51.31,Comm&Mgmt,Yes,71.27,Mkt&HR,56.04,Placed,369819,Yes
2077,F,90.26,Others,80.21,Others,Science,69.91,Arts,Yes,77.65,Mkt&Fin,84.22,Placed,484463,Yes
2078,F,56.66,Central,95.01,Others,Science,72.8,Arts,No,62.86,Mkt&Fin,99.32,Not Placed,349749.259823577,No
2079,M,66.32,Central,78.13,Central,Arts,77.77,Arts,No,98.04,Mkt&Fin,91.86,Placed,349749.259823577,Yes
2080,M,67.41,Central,72.79,Others,Arts,68.22,Sci&Tech,Yes,94.45,Mkt&Fin,51.25,Not Placed,349749.259823577,No
2081,F,99.71,Central,55.55,Others,Science,98.41,Sci&Tech,No,56.39,Mkt&Fin,57.61,Not Placed,349749.259823577,No
2082,F,67.3,Others,83.86,Central,Science,56.39,Arts,No,65.9,Mkt&HR,60.33,Not Placed,355945,No
2083,F,50.91,Others,99.58,Others,Commerce,91.37,Comm&Mgmt,No,70.1,Mkt&HR,84.66,Placed,306596,Yes
2084,M,87.68,Central,72.77,Others,Commerce,74.75,Sci&Tech,No,77.37,Mkt&HR,64.23,Not Placed,349749.259823577,No
2085,F,97.5,Central,89.65,Others,Science,81.79,Arts,Yes,79.5,Mkt&HR,98.58,Placed,349749.259823577,Yes
2086,F,53.81,Central,71.25,Others,Commerce,52.46,Comm&Mgmt,Yes,92.43,Mkt&HR,79.38,Placed,349749.259823577,Yes
2087,F,89.97,Others,61.13,Central,Commerce,84.45,Sci&Tech,Yes,93.29,Mkt&Fin,61.33,Not Placed,349749.259823577,No
2088,M,98.28,Central,66.55,Others,Science,78.78,Comm&Mgmt,No,96.12,Mkt&Fin,89.35,Placed,349749.259823577,Yes
2089,M,50.21,Others,86.15,Others,Science,51.59,Comm&Mgmt,Yes,70.08,Mkt&Fin,59.07,Placed,349749.259823577,Yes
2090,F,56.01,Others,71.19,Central,Arts,53.34,Comm&Mgmt,Yes,59.4,Mkt&Fin,83.28,Not Placed,349749.259823577,No
2091,M,58.71,Central,64.85,Others,Commerce,97.15,Sci&Tech,Yes,96.3,Mkt&HR,64.59,Not Placed,273745,No
2092,F,59.99,Central,97.25,Others,Commerce,60.22,Sci&Tech,Yes,78,Mkt&Fin,86.28,Placed,349749.259823577,Yes
2093,F,61.8,Others,74.05,Others,Science,83.7,Comm&Mgmt,Yes,77.22,Mkt&HR,97.29,Placed,349749.259823577,Yes
2094,F,91.42,Central,58.68,Central,Science,54.39,Comm&Mgmt,Yes,53.32,Mkt&HR,67.68,Not Placed,349749.259823577,No
2095,F,58.07,Central,92.58,Central,Science,89.38,Arts,Yes,77.03,Mkt&Fin,88.93,Not Placed,454628,No
2096,F,64.94,Central,77.69,Central,Science,88.44,Sci&Tech,Yes,74.73,Mkt&HR,94.33,Placed,367603,Yes
2097,M,57.75,Central,56.21,Central,Arts,66.06,Sci&Tech,No,86.79,Mkt&Fin,52.14,Not Placed,349749.259823577,No
2098,F,88.46,Others,58.67,Others,Science,74.8,Sci&Tech,Yes,63.12,Mkt&HR,67.84,Placed,400981,Yes
2099,M,56.1,Others,72.47,Others,Commerce,72.63,Arts,Yes,93.96,Mkt&Fin,97.84,Not Placed,349749.259823577,No
2100,M,70.8,Others,54.47,Others,Commerce,76.73,Arts,No,77.25,Mkt&Fin,66.4,Placed,349749.259823577,Yes
2101,F,99.22,Others,52.69,Others,Arts,97.85,Comm&Mgmt,Yes,69.19,Mkt&HR,73.74,Not Placed,277361,No
2102,M,75.62,Others,86.81,Others,Commerce,60.5,Sci&Tech,Yes,53.62,Mkt&Fin,57.04,Placed,349749.259823577,Yes
2103,M,87.41,Others,79.48,Central,Science,99.56,Arts,Yes,77.09,Mkt&HR,61.9,Not Placed,349749.259823577,No
2104,M,98.69,Others,85.37,Central,Commerce,96.59,Comm&Mgmt,Yes,56.45,Mkt&Fin,71.73,Not Placed,349749.259823577,No
2105,F,68.87,Central,85.08,Central,Commerce,80.92,Comm&Mgmt,No,91.39,Mkt&Fin,89.55,Not Placed,349749.259823577,No
2106,F,55.66,Others,98.32,Others,Science,94.81,Sci&Tech,No,59,Mkt&HR,95.61,Not Placed,349749.259823577,No
2107,F,98.72,Central,58.75,Central,Arts,89.68,Arts,No,57.09,Mkt&HR,82.3,Placed,421699,Yes
2108,F,67.24,Others,52.43,Others,Science,51.89,Arts,No,52.09,Mkt&HR,90.98,Not Placed,490741,No
2109,F,92.36,Others,66.34,Others,Commerce,93.42,Comm&Mgmt,No,57.9,Mkt&HR,93.46,Placed,349749.259823577,Yes
2110,M,67.86,Central,55.08,Others,Arts,60.91,Comm&Mgmt,Yes,64.55,Mkt&Fin,79.11,Placed,450208,Yes
2111,F,73.41,Others,81.97,Central,Commerce,61.43,Sci&Tech,Yes,73.14,Mkt&Fin,70.73,Not Placed,349749.259823577,No
2112,F,95.12,Others,80.75,Others,Arts,67.53,Arts,No,65.61,Mkt&Fin,83.39,Placed,481221,Yes
2113,F,63.47,Others,54.21,Central,Commerce,50.98,Sci&Tech,No,70.89,Mkt&Fin,51.47,Not Placed,349749.259823577,No
2114,M,57.35,Others,71.63,Others,Science,59.05,Sci&Tech,No,79.71,Mkt&HR,61.36,Placed,349749.259823577,Yes
2115,M,73.99,Central,77.67,Central,Science,91.23,Comm&Mgmt,Yes,65.99,Mkt&HR,73.12,Not Placed,287948,No
2116,F,71.59,Others,84.78,Others,Arts,57.2,Sci&Tech,Yes,74.77,Mkt&HR,74.28,Not Placed,302943,No
2117,M,82.06,Central,52.82,Others,Commerce,81.46,Sci&Tech,No,95.75,Mkt&Fin,58.44,Placed,349749.259823577,Yes
2118,F,94.41,Others,94.92,Central,Arts,66.27,Sci&Tech,No,91.75,Mkt&Fin,77.05,Not Placed,349749.259823577,No
2119,M,93.06,Central,82.27,Central,Arts,52.92,Sci&Tech,Yes,69.71,Mkt&Fin,89.72,Not Placed,306026,No
2120,F,78.37,Others,99.5,Central,Commerce,50.94,Arts,Yes,95.65,Mkt&Fin,60.77,Placed,349749.259823577,Yes
2121,F,83.56,Central,82.44,Others,Commerce,65.52,Arts,No,79.03,Mkt&Fin,82.98,Not Placed,349749.259823577,No
2122,F,74.69,Others,72.41,Central,Science,72.72,Sci&Tech,Yes,72.94,Mkt&Fin,56.64,Not Placed,349749.259823577,No
2123,M,61.37,Others,81.46,Others,Science,56.97,Sci&Tech,No,87.3,Mkt&HR,69.28,Not Placed,349749.259823577,No
2124,F,70.58,Others,70.7,Others,Commerce,59.52,Comm&Mgmt,No,75.98,Mkt&Fin,69.56,Placed,349749.259823577,Yes
2125,F,78.21,Central,57.6,Others,Science,52.8,Comm&Mgmt,Yes,81.47,Mkt&HR,74.09,Placed,349749.259823577,Yes
2126,M,50.21,Others,52.89,Others,Science,81.68,Comm&Mgmt,Yes,56.39,Mkt&Fin,78.19,Placed,349749.259823577,Yes
2127,F,68.8,Others,88.4,Others,Commerce,52.87,Comm&Mgmt,No,88.54,Mkt&HR,97.1,Not Placed,349749.259823577,No
2128,M,96.93,Others,81.05,Central,Science,83.73,Sci&Tech,No,65.67,Mkt&HR,51.29,Placed,279491,Yes
2129,M,50.1,Central,76.87,Central,Arts,75.57,Comm&Mgmt,No,74.18,Mkt&HR,57.17,Not Placed,289372,No
2130,F,66.88,Others,99.53,Central,Arts,56.26,Comm&Mgmt,Yes,90.99,Mkt&Fin,62.77,Placed,349749.259823577,Yes
2131,M,55.22,Central,78.71,Others,Commerce,74.13,Comm&Mgmt,No,67.13,Mkt&HR,63.06,Not Placed,349749.259823577,No
2132,M,77.4,Others,71.89,Others,Arts,97.74,Sci&Tech,No,79.48,Mkt&HR,84.5,Placed,459386,Yes
2133,M,67.19,Central,53.35,Central,Arts,74.32,Comm&Mgmt,Yes,70.85,Mkt&HR,60.48,Not Placed,349749.259823577,No
2134,F,76.42,Central,73.81,Central,Science,64.33,Sci&Tech,Yes,76.12,Mkt&Fin,64.99,Placed,385589,Yes
2135,F,60.56,Central,66.74,Central,Arts,96.08,Arts,Yes,75.71,Mkt&HR,90.92,Placed,349749.259823577,Yes
2136,M,83.81,Others,63.74,Central,Commerce,93.2,Arts,No,68.73,Mkt&HR,60.58,Placed,349749.259823577,Yes
2137,F,63.34,Central,63.17,Others,Arts,88.6,Comm&Mgmt,Yes,53.18,Mkt&Fin,63.32,Placed,349749.259823577,Yes
2138,F,62.21,Others,72.96,Central,Arts,75.89,Arts,Yes,95.64,Mkt&Fin,51.6,Placed,349749.259823577,Yes
2139,F,88.36,Others,72.81,Others,Science,72.01,Comm&Mgmt,Yes,50.52,Mkt&Fin,62.64,Placed,349749.259823577,Yes
2140,F,84.79,Others,76.96,Central,Science,70.99,Arts,No,98.51,Mkt&Fin,97.44,Not Placed,229749,No
2141,M,71.5,Central,68.23,Central,Science,68.44,Sci&Tech,Yes,74.73,Mkt&HR,67.5,Not Placed,349749.259823577,No
2142,M,97.39,Central,50.09,Central,Science,59.34,Sci&Tech,Yes,85.07,Mkt&HR,52.53,Placed,349749.259823577,Yes
2143,F,72.61,Central,56.13,Central,Commerce,56.89,Arts,Yes,54.24,Mkt&HR,79.44,Placed,349749.259823577,Yes
2144,M,88.72,Others,55.94,Central,Science,75.86,Arts,No,53.01,Mkt&HR,84.59,Placed,349749.259823577,Yes
2145,F,63.32,Central,95.64,Others,Arts,80.28,Sci&Tech,Yes,77.5,Mkt&HR,75.23,Placed,349749.259823577,Yes
2146,M,86.76,Others,92.74,Others,Science,75.09,Sci&Tech,No,92.64,Mkt&HR,76.8,Not Placed,349749.259823577,No
2147,F,60.41,Others,93.09,Others,Arts,93.37,Comm&Mgmt,Yes,70.03,Mkt&Fin,91.14,Placed,349749.259823577,Yes
2148,F,54.07,Central,68.63,Others,Commerce,63.93,Sci&Tech,No,82.78,Mkt&HR,52.6,Not Placed,349749.259823577,No
2149,F,59.22,Central,52.46,Others,Science,71.37,Sci&Tech,No,66.59,Mkt&HR,65.39,Not Placed,349749.259823577,No
2150,F,71.57,Central,92.75,Central,Arts,53.85,Comm&Mgmt,Yes,58.34,Mkt&HR,92.55,Not Placed,349749.259823577,No
2151,F,57.29,Others,52.17,Central,Commerce,64.54,Sci&Tech,Yes,97.48,Mkt&HR,87.09,Not Placed,381249,No
2152,M,59.21,Others,88.99,Others,Science,58.72,Comm&Mgmt,No,52.18,Mkt&HR,57.53,Placed,345472,Yes
2153,F,97.73,Central,91.35,Others,Arts,79.83,Arts,Yes,64.03,Mkt&Fin,73.5,Not Placed,349749.259823577,No
2154,F,86.96,Central,72.82,Central,Commerce,61.83,Comm&Mgmt,Yes,63.37,Mkt&Fin,82.08,Placed,349749.259823577,Yes
2155,M,91.57,Others,51.07,Others,Commerce,50.1,Sci&Tech,Yes,92.95,Mkt&Fin,67.07,Placed,349749.259823577,Yes
2156,M,59.83,Central,90.12,Others,Commerce,57.28,Arts,No,99.34,Mkt&HR,93.86,Placed,349749.259823577,Yes
2157,F,87,Central,59.87,Central,Arts,88.33,Sci&Tech,Yes,97.03,Mkt&HR,87.71,Not Placed,349749.259823577,No
2158,F,98.36,Others,99.64,Others,Science,68.59,Comm&Mgmt,Yes,57.72,Mkt&HR,98.51,Not Placed,349749.259823577,No
2159,F,51.44,Central,78.59,Central,Science,95.55,Arts,No,62.06,Mkt&Fin,98.99,Placed,349749.259823577,Yes
2160,M,60,Central,60.69,Central,Arts,69.42,Comm&Mgmt,Yes,82.5,Mkt&HR,93.76,Placed,236940,Yes
2161,F,57.52,Central,79.01,Central,Commerce,57.47,Sci&Tech,No,78.68,Mkt&Fin,70.2,Placed,349749.259823577,Yes
2162,F,68.48,Central,98.79,Central,Science,93.08,Sci&Tech,Yes,61.1,Mkt&HR,59.79,Not Placed,488943,No
2163,F,79.45,Others,90.42,Others,Science,96.76,Arts,Yes,62.3,Mkt&HR,79.06,Placed,349749.259823577,Yes
2164,F,57.25,Others,62.91,Central,Arts,54.41,Comm&Mgmt,Yes,50.71,Mkt&HR,53.35,Placed,349749.259823577,Yes
2165,F,93.57,Others,55.12,Central,Science,54.11,Sci&Tech,No,71.75,Mkt&Fin,94.13,Not Placed,349749.259823577,No
2166,F,71.5,Others,91.67,Central,Arts,95.03,Comm&Mgmt,No,83.66,Mkt&Fin,88.19,Not Placed,349749.259823577,No
2167,F,66.92,Others,84.79,Central,Arts,83.92,Arts,Yes,51.57,Mkt&HR,96.14,Placed,256147,Yes
2168,M,88.65,Central,68.01,Others,Arts,64.12,Sci&Tech,No,83.38,Mkt&HR,96.06,Not Placed,349749.259823577,No
2169,M,70.54,Central,57.13,Central,Commerce,55.51,Arts,No,86.95,Mkt&HR,80.18,Not Placed,349749.259823577,No
2170,F,54.26,Others,59.28,Central,Commerce,93.85,Comm&Mgmt,No,51.93,Mkt&Fin,64.04,Placed,349749.259823577,Yes
2171,F,77.92,Central,59.98,Others,Science,85.41,Sci&Tech,Yes,87.33,Mkt&HR,52.02,Placed,349749.259823577,Yes
2172,F,62.25,Central,83.46,Others,Commerce,94.23,Arts,Yes,63.81,Mkt&Fin,63.21,Not Placed,349749.259823577,No
2173,M,54.27,Central,75.69,Others,Commerce,50.05,Arts,No,71.53,Mkt&HR,90.99,Placed,349749.259823577,Yes
2174,F,81.52,Central,85.78,Others,Arts,71.67,Arts,No,93.45,Mkt&Fin,51.16,Placed,247364,Yes
2175,M,96.62,Central,55.38,Central,Arts,94.48,Arts,Yes,72.53,Mkt&Fin,64.07,Placed,349749.259823577,Yes
2176,F,91.51,Central,99.13,Others,Commerce,89.1,Sci&Tech,Yes,79.99,Mkt&Fin,91.11,Not Placed,349749.259823577,No
2177,M,54.26,Others,86.38,Others,Science,67.11,Comm&Mgmt,Yes,84.1,Mkt&HR,58.04,Not Placed,349749.259823577,No
2178,M,89.68,Others,91.78,Central,Arts,84.42,Sci&Tech,Yes,78.6,Mkt&Fin,84.64,Placed,215555,Yes
2179,M,67.31,Others,92.74,Others,Commerce,84.07,Arts,Yes,63.06,Mkt&HR,96.72,Placed,349749.259823577,Yes
2180,M,81.64,Others,81.11,Others,Science,77.73,Comm&Mgmt,Yes,78.7,Mkt&Fin,72.26,Placed,349749.259823577,Yes
2181,F,74.67,Central,53.82,Others,Arts,98.97,Sci&Tech,No,72.24,Mkt&HR,95.46,Not Placed,349749.259823577,No
2182,M,64.74,Central,87.37,Central,Arts,52.07,Comm&Mgmt,Yes,93.94,Mkt&Fin,78.21,Placed,349749.259823577,Yes
2183,F,60.67,Central,75.42,Others,Commerce,64.41,Sci&Tech,Yes,67.55,Mkt&Fin,97.9,Not Placed,349749.259823577,No
2184,F,54.44,Central,89.86,Others,Commerce,59.34,Comm&Mgmt,No,77.37,Mkt&Fin,59.46,Placed,349749.259823577,Yes
2185,M,65.63,Others,83.93,Others,Science,74.62,Comm&Mgmt,Yes,82.06,Mkt&Fin,84.25,Not Placed,349749.259823577,No
